"","control_1","control_2","control_3","Hoxa1KN_1","Hoxa1KN_2","Hoxa1KN_3"
"Path:hsa00010 Glycolysis/Gluconeogenesis",0.0403131175819224,0.0121055241524575,0.109683546576076,0.0265071559399308,0.021951053410512,0.0367084216143277
"Path:hsa00020 Citrate cycle (TCA cycle)",0.0157700615921278,0.00145067034018598,0.00157586671438407,0.00166743362041233,0.0130321561663738,0.00206247974676445
"Path:hsa00030 Pentose phosphate pathway",0.0374910722846499,0.0369705800169343,0.016374263262637,0.0770734865186832,0.00428964913305189,0.0201826773364609
"Path:hsa00040 Pentose and glucuronate interconversions",0.0473717002262641,0.74460423432898,0.348724937354501,0.195400313884395,0.37379750766878,0.27525453680087
"Path:hsa00051 Fructose and mannose metabolism",0.617963622821556,0.429042485015615,0.832889714242544,0.743250537061989,0.46700854680369,0.70537149372307
"Path:hsa00052 Galactose metabolism",0.801385284382471,0.878198842402349,0.776650060081342,0.915809701391029,0.677781036521262,0.845441961436521
"Path:hsa00053 Ascorbate and aldarate metabolism",0.0473554992782236,0.154160851361687,0.208026868739914,0.182028665545618,0.0852990960311338,0.0882180460059337
"Path:hsa00061 Fatty acid biosynthesis",0.787568236669035,0.840868671912264,0.806469058755007,0.618770585001855,0.523523549351881,0.720387505249704
"Path:hsa00062 Fatty acid elongation",0.081042103624916,0.0644016255725896,0.0875980667006006,0.106518701721259,0.166025553949772,0.0355404862923608
"Path:hsa00071 Fatty acid degradation",0.00238463230396298,0.00120871623709648,0.0217279019377056,0.00118558134839762,0.0221276752985991,0.0192376304761907
"Path:hsa00100 Steroid biosynthesis",0.497791650237268,0.261504105073931,0.338936820214315,0.335891436335645,0.570435387487972,0.242412844151759
"Path:hsa00120 Primary bile acid biosynthesis",0.868171897818504,0.221168514503888,0.786853689575275,0.39445296661577,0.504324616286643,0.915519200516394
"Path:hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.0133081343594542,0.25139992666462,0.0998970847189913,0.258742520088263,0.0220644345413284,0.103787037654164
"Path:hsa00140 Steroid hormone biosynthesis",0.000850891014739092,0.00685733238914374,0.00169942421950662,0.000579409741776741,0.00693928530628947,0.00116313250502268
"Path:hsa00190 Oxidative phosphorylation",0.322919520813126,0.746811000695069,0.251033897242769,0.120562692208523,0.572613339487531,0.727757098171688
"Path:hsa00220 Arginine biosynthesis",0.490056329497681,0.302620289266851,0.122955330487022,0.318577945333358,0.268894402484468,0.269829305957426
"Path:hsa00230 Purine metabolism",0.0271958847692966,0.0404368187814536,0.0783451155087729,0.0239205181954333,0.105287151413986,0.0396915485307284
"Path:hsa00240 Pyrimidine metabolism",0.00114440879611176,0.00143456645486044,0.00152663763313361,0.00136292028019732,0.00124260013605424,0.00126818929699551
"Path:hsa00250 Alanine aspartate and glutamate metabolism",0.140162747865605,0.0607230454943316,0.048632161826915,0.139607271225292,0.116239131032796,0.0149747635633909
"Path:hsa00260 Glycine serine and threonine metabolism",0.274932086334999,0.306227276822554,0.0445143757820148,0.288538341806448,0.0347729472965859,0.306160484440191
"Path:hsa00270 Cysteine and methionine metabolism",0.0296601109377674,0.0616311654619507,0.0376735057535168,0.0263557943613302,0.129463535707181,0.024354385117853
"Path:hsa00280 Valine leucine and isoleucine degradation",0.004322195959192,0.0198900892296644,0.00414740510764104,0.00527783452661842,0.020270253048826,0.00401595877729732
"Path:hsa00310 Lysine degradation",0.000185952030358607,0.000341677400692665,0.00122907433018974,0.00167898613336401,0.000297615277758517,0.000302892142840021
"Path:hsa00330 Arginine and proline metabolism",0.443860357531468,0.187086052168233,0.263033717742591,0.13187773143021,0.499965078286329,0.424277991336537
"Path:hsa00340 Histidine metabolism",0.129999993913917,0.0896359951997328,0.0847261869076144,0.0719125055928202,0.0571799788040633,0.131561530240214
"Path:hsa00350 Tyrosine metabolism",0.70944595492807,0.385432805603556,0.636716302687436,0.401292846932076,0.314393096792516,0.879581946903968
"Path:hsa00360 Phenylalanine metabolism",0.790368038014202,0.747333602124322,0.202534245469771,0.559539286452709,0.298311805941016,0.936159006927498
"Path:hsa00380 Tryptophan metabolism",0.166311693003958,0.0390819516424267,0.128042055062273,0.0123920096017581,0.0926645734976015,0.353080948688383
"Path:hsa00410 beta-Alanine metabolism",0.0906080412170904,0.240883416924288,0.0962157992011719,0.134936857930346,0.419972611821145,0.058400711584674
"Path:hsa00430 Taurine and hypotaurine metabolism",0.152234682751242,0.461156501900415,0.0447601504544634,0.391661042116231,0.0393554426985057,0.139432138936926
"Path:hsa00450 Selenocompound metabolism",0.00768725249385351,0.0140475677139922,0.374563134933215,0.0166707953998451,0.0574442408624353,0.122654267961439
"Path:hsa00480 Glutathione metabolism",0.768930308869073,0.995705386929211,0.784881945021371,0.582730513998149,0.698513806627937,0.832188154426436
"Path:hsa00500 Starch and sucrose metabolism",0.99958457700282,0.616530748853354,0.784404778932047,0.6868662503188,0.958824165322554,0.710546558017536
"Path:hsa00510 N-Glycan biosynthesis",0.019638087188275,0.0496192323062104,0.0335805859835267,0.00121348945245718,0.250707401261653,0.0425495229873061
"Path:hsa00511 Other glycan degradation",0.00340779412563802,0.001938560777443,0.0117761559835628,0.0103290209183862,0.00230758125487186,0.00204257220132013
"Path:hsa00512 Mucin type O-glycan biosynthesis",0.210497731242099,0.113677310503616,0.187803849135417,0.124100027961768,0.224217720624673,0.193853118419673
"Path:hsa00513 Various types of N-glycan biosynthesis",0.00526201135166173,0.0146611316406461,0.0188125769321852,0.00304105958919699,0.0172316770720343,0.0413569412573548
"Path:hsa00514 Other types of O-glycan biosynthesis",0.101016897549481,0.188986750178579,0.0178780678750548,0.0841356118746139,0.13543620424335,0.0480448482627211
"Path:hsa00515 Mannose type O-glycan biosynthesis",0.105095587736856,0.495219607900578,0.517139824342991,0.200312307702516,0.820752044635258,0.365415397014933
"Path:hsa00520 Amino sugar and nucleotide sugar metabolism",0.388908657708935,0.481079933839856,0.484073025759827,0.527447545838376,0.553806104289166,0.297853173016713
"Path:hsa00531 Glycosaminoglycan degradation",0.000245634228440847,8.3254900048621e-05,0.00240105605728235,0.000281665157123032,0.000665848044416158,0.000218449611539885
"Path:hsa00532 Glycosaminoglycan biosynthesis-chondroitin sulfate/dermatan sulfate",0.115429375928988,0.138046653892256,0.176645863313671,0.126979165706196,0.232215971409008,0.096022508400109
"Path:hsa00533 Glycosaminoglycan biosynthesis-keratan sulfate",0.141246402842798,0.970087765836143,0.484281037304004,0.354605288188485,0.411164102883326,0.627179949346233
"Path:hsa00534 Glycosaminoglycan biosynthesis-heparan sulfate/heparin",0.930929891688558,0.965075765333631,0.767741375416943,0.956374792341085,0.481716681382521,0.821072664517998
"Path:hsa00561 Glycerolipid metabolism",0.784660370251315,0.851166506332366,0.587644927257907,0.71695605774311,0.275374883853036,0.673470407172567
"Path:hsa00562 Inositol phosphate metabolism",0.426054019183641,0.494963730132321,0.227256764902039,0.652157954886248,0.203710043771646,0.290186797243088
"Path:hsa00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.278429587962694,0.994163848715619,0.611982149642199,0.181571539579414,0.793314632797106,0.797845638226547
"Path:hsa00564 Glycerophospholipid metabolism",0.01646384639292,0.0291580886604868,0.0945300213957794,0.0394820511922119,0.0879881485880646,0.0189159663742376
"Path:hsa00565 Ether lipid metabolism",0.0770440322816152,0.225134034653291,0.856073800334283,0.214115325361313,0.341201693371786,0.285024001807456
"Path:hsa00590 Arachidonic acid metabolism",0.103516994274677,0.167985124694358,0.199352209902782,0.191708149238824,0.105421292322337,0.14242906227923
"Path:hsa00591 Linoleic acid metabolism",0.117368128160509,0.959402864622999,0.94183538455708,0.464540982637704,0.807546500591616,0.498339959089674
"Path:hsa00592 alpha-Linolenic acid metabolism",0.266588175866041,0.730202565725073,0.861403643200241,0.539068786900873,0.961954743536836,0.989457874482608
"Path:hsa00600 Sphingolipid metabolism",0.272992435899745,0.330810592829081,0.249283824992509,0.208821079895042,0.177024136298718,0.473324408270996
"Path:hsa00601 Glycosphingolipid biosynthesis-lacto and neolacto series",0.769901726961175,0.49960043963022,0.651339322175596,0.978024266225951,0.3664002372546,0.529835060321256
"Path:hsa00603 Glycosphingolipid biosynthesis-globo and isoglobo series",0.0338716981430141,0.00824856264910827,0.00874709824942793,0.0163446647118309,0.00489193664831736,0.0187843812436893
"Path:hsa00604 Glycosphingolipid biosynthesis-ganglio series",0.565598570979962,0.0902010038990185,0.124205097798566,0.374674562008668,0.0594138873784174,0.168594486487605
"Path:hsa00620 Pyruvate metabolism",0.012174743547967,0.00494408249349955,0.0473560650335353,0.00700441640208197,0.00860437030886618,0.0147246974312545
"Path:hsa00630 Glyoxylate and dicarboxylate metabolism",0.0858212207212887,0.0128163548553942,0.00310346766525587,0.0282541371672202,0.00907356439908317,0.0051109175533124
"Path:hsa00640 Propanoate metabolism",0.0180924128130232,0.0937752910262,0.0160988893179211,0.0176114534257845,0.0712064825527626,0.0325361564923979
"Path:hsa00650 Butanoate metabolism",0.133303605803436,0.0284948929959116,0.0195839476489077,0.0309337390467677,0.019318865492257,0.0257316242694533
"Path:hsa00670 One carbon pool by folate",0.074283166759133,0.0660898939046293,0.0699620423012645,0.0617592041204419,0.20606425394919,0.036090283706255
"Path:hsa00730 Thiamine metabolism",0.102429058653557,0.112654889441755,0.196181453234233,0.127548528354027,0.23595133054408,0.12141427171838
"Path:hsa00740 Riboflavin metabolism",0.425954219618804,0.359559517128585,0.38985417641175,0.340656013419531,0.379897985743674,0.436383817171747
"Path:hsa00760 Nicotinate and nicotinamide metabolism",0.0358133532499088,0.0255262993541351,0.0204480007214706,0.0275900182668592,0.0155917501468425,0.0366011630978138
"Path:hsa00770 Pantothenate and CoA biosynthesis",0.230676797749062,0.283690977318872,0.313390821828614,0.226512824999706,0.298242220851123,0.288176591568876
"Path:hsa00790 Folate biosynthesis",0.260230930582773,0.0956112395286356,0.647851216776909,0.147656993299264,0.250157559168994,0.409091928197728
"Path:hsa00830 Retinol metabolism",0.562883904882698,0.390551049658881,0.353909573015451,0.197578940187502,0.749436060975714,0.380452752902918
"Path:hsa00860 Porphyrin metabolism",0.0196284138790274,0.193585845918457,0.0344586770448346,0.126015793214436,0.0411120774779178,0.0198880732229715
"Path:hsa00900 Terpenoid backbone biosynthesis",0.443914406329436,0.486166065429386,0.506485230100852,0.512933032679501,0.364905525776621,0.55636932860082
"Path:hsa00910 Nitrogen metabolism",0.731333806049103,0.66016756148017,0.917652765379186,0.525081987611979,0.0909012746078342,0.494274382096537
"Path:hsa00920 Sulfur metabolism",0.474707970194387,0.416369492376603,0.440995724646069,0.479451707770115,0.4989461099874,0.362166879891343
"Path:hsa00970 Aminoacyl-tRNA biosynthesis",1.78842806609411e-06,3.82293896015548e-07,5.6502222015378e-05,2.64897018044417e-07,3.42294370598075e-07,6.16727702496341e-05
"Path:hsa00980 Metabolism of xenobiotics by cytochrome P450",0.0749927625005494,0.121296028163392,0.0363179533275731,0.113565872201134,0.0394421418375697,0.0368772361683814
"Path:hsa00982 Drug metabolism-cytochrome P450",0.851299082741339,0.214426008533364,0.998639353928575,0.197768652396152,0.831174375246559,0.79202928378358
"Path:hsa00983 Drug metabolism-other enzymes",0.0790639238766607,0.0468741335959848,0.0459316898792558,0.0431791675620183,0.0632005438418707,0.0517783638522072
"Path:hsa01040 Biosynthesis of unsaturated fatty acids",0.138375108432532,0.114124873137125,0.13871170155596,0.278552519101908,0.121268035756769,0.0704796082380632
"Path:hsa01100 Metabolic pathways",0.0959387077309358,0.131353204674786,0.147548862236212,0.0641146956984978,0.129715148099111,0.223198730471449
"Path:hsa01200 Carbon metabolism",0.000484999480375406,7.86023450791398e-06,4.05288799549405e-06,4.3216076411298e-05,1.17014954878311e-05,1.59113456956993e-05
"Path:hsa01210 2-Oxocarboxylic acid metabolism",0.490318224675385,0.222000293864198,0.0181006210602244,0.330740242348293,0.184766394693174,0.0722400225435132
"Path:hsa01212 Fatty acid metabolism",0.0163476400489702,0.00478526564980404,0.00411506180123584,0.00451178093001508,0.0191910822483762,0.0359359582717017
"Path:hsa01230 Biosynthesis of amino acids",3.56582226800322e-05,3.35739193933908e-05,1.67683061264439e-05,3.52433883860633e-05,1.25588077981021e-05,1.88946672547254e-05
"Path:hsa01232 Nucleotide metabolism",0.00236393015388673,0.00180171688337693,0.00197419550882394,0.0013769983440463,0.00088778133214754,0.00525392660384595
"Path:hsa01240 Biosynthesis of cofactors",0.00809858706858724,0.0336386663724566,0.00301738279716116,0.0204454567013268,0.00703034387986689,0.0101522285715097
"Path:hsa01250 Biosynthesis of nucleotide sugars",0.0621515741764048,0.0657074883001963,0.0121165848317878,0.0411552406622083,0.0559228241986707,0.0273388434958858
"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance",0.189004492194295,0.121567538882763,0.0636447284454797,0.14836969788277,0.0844142875267079,0.117450542117269
"Path:hsa01522 Endocrine resistance",0.558710582671128,0.454793123865088,0.725916091676485,0.770764485220102,0.453697407952859,0.501751710780499
"Path:hsa01523 Antifolate resistance",0.835203041602934,0.752822342462021,0.892140260532037,0.828726061726754,0.973487632836142,0.708893318262564
"Path:hsa01524 Platinum drug resistance",0.333171324417903,0.197976275123948,0.159451481178786,0.139412783287333,0.294107977625704,0.256928215175396
"Path:hsa02010 ABC transporters",0.231944751870402,0.117932531799137,0.139238027962441,0.0249848166220404,0.378058889445959,0.143942640051137
"Path:hsa03008 Ribosome biogenesis in eukaryotes",0.0883636343269005,2.35205240251852e-06,0.00416819900172339,0.00782478362914725,0.0631444169953492,0.00177443130866589
"Path:hsa03010 Ribosome",2.13104878427991e-10,9.68035763804994e-14,5.22775710506988e-08,4.24968820486624e-07,1.12360764898161e-11,7.25939241090541e-14
"Path:hsa03013 Nucleocytoplasmic transport",5.06635658743846e-05,2.20104090288108e-06,5.39977006322634e-07,1.03623545438583e-06,3.37980356502228e-06,2.08474686484123e-05
"Path:hsa03015 mRNA surveillance pathway",0.161164008623513,0.112463203992666,0.0440898238601142,0.0714521254383151,0.0837168564427497,0.157208678147329
"Path:hsa03018 RNA degradation",0.110694150501678,0.450014576786541,0.595083041179363,0.345546040990286,0.25877037483636,0.435175645430683
"Path:hsa03020 RNA polymerase",0.0237917734575318,0.366208186464368,0.0648689039198831,0.678300736561182,0.0114781728417184,0.0297849297947962
"Path:hsa03022 Basal transcription factors",0.62311012696155,0.861038127868635,0.792397176515203,0.973554611349591,0.92553834362463,0.518112952552034
"Path:hsa03030 DNA replication",7.11190949022501e-06,1.68576568030885e-08,5.41832037953982e-08,1.97430782212994e-07,1.41228293600392e-07,4.08733108700968e-07
"Path:hsa03040 Spliceosome",0.000278513688446395,6.48789225726218e-07,6.9849260786157e-07,5.87362584384533e-06,1.20308332769831e-05,6.63265356774966e-06
"Path:hsa03050 Proteasome",0.00247206480022217,5.57515028802907e-05,0.000656808844167341,8.46391046103357e-05,0.000282119104951562,0.00198211735655267
"Path:hsa03060 Protein export",0.687454633062236,0.244630199235737,0.547997502503365,0.618983401297541,0.751564047301952,0.245925340432474
"Path:hsa03250 Viral life cycle-HIV-1",0.272318530293637,0.491249812411497,0.146116516529969,0.48092270822831,0.147678651629686,0.231544440189703
"Path:hsa03320 PPAR signaling pathway",0.520818076416539,0.524949331507844,0.497081620644357,0.294612170229127,0.888520163572419,0.541169531862411
"Path:hsa03410 Base excision repair",0.0605573061420084,0.0290502981194315,0.0213763254011391,0.0300627668559094,0.020628302528513,0.0477278043537173
"Path:hsa03420 Nucleotide excision repair",0.000732137530097332,0.000102741807643799,0.000241797302537099,0.000144766920490936,0.00129870207741375,0.000135032857295997
"Path:hsa03430 Mismatch repair",0.00131639873739792,0.000148952036168665,6.72170044174861e-05,0.000152048952810796,0.000596066509947593,0.000205556396280432
"Path:hsa03440 Homologous recombination",0.000371767392398651,2.23278654092712e-05,6.89788005421739e-05,8.83860495133476e-05,9.2740161081635e-05,8.76479015885284e-05
"Path:hsa03450 Non-homologous end-joining",0.194815680949276,0.0630626164517623,0.231734215826433,0.0883415744988239,0.246148728338426,0.152461519119354
"Path:hsa03460 Fanconi anemia pathway",0.013105389830011,0.0277393818105264,0.000402383468827967,0.00761390468281815,0.00926135337850941,0.00289779942948178
"Path:hsa04010 MAPK signaling pathway",0.00233038540039183,0.00510769118173532,0.00236447070625934,0.00841967108675775,0.000405454107993616,0.00389731442552186
"Path:hsa04012 ErbB signaling pathway",0.228125775994494,0.188904450179641,0.116973072383424,0.213669391834572,0.150695422742126,0.159997316115478
"Path:hsa04014 Ras signaling pathway",0.00251197164081291,0.0345004838291285,0.0163943523229845,0.0369324728049228,0.00518529734086679,0.00846384887251927
