"","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
" Gm10800",5.98618952099559,10.245203551603,11.622004812295,12.4454368310818,19.5898594206839,21.0792474268637,8.27995371189485,17.4050604129027,13.2374101568941,12.9142671718432,6.94932162029653,14.5751248081287
" Gm10801",4.02373279714058,7.79196515292641,9.16142063543458,9.80903637657614,16.9865474088233,18.4745664437039,5.76700556323529,14.969388755519,10.5926937311973,10.2580008734846,4.74294784208515,12.0054025500834
" Gm26992",11.0630360854606,11.3774259207399,11.2321022025762,11.3576054777702,11.0110532689627,11.1574557901928,11.6953738799627,3.18489312801691,2,2.28556572104039,2.36145216207454,2.68728175925426
" Phlda3",4.23630644474183,4.28460269026721,4.36520381732873,4.11305092083655,12.1777546454902,12.0294717199957,12.9547685375533,13.0988683033956,3.73407731605086,3.06656500350003,2,2.49244918571559
" Gm12918",11.4853253689035,7.68200824002964,5.99088822460511,2,2,2,2,12.6225965926326,2,10.6144676582648,2.65024692605558,2
" H4c17",3.70461193183998,3.23591369365882,3.43816070988693,2,3.00413305217986,4.10725526037287,2,3.18489312801691,11.4733551241526,11.2269449991805,11.5574842264913,10.5178181347905
" Rps6-ps4",12.7947521633902,11.8015519498749,11.8975736003191,10.1398141455349,13.2464565687824,13.3724705714876,2,13.5597570416035,2.97778872176109,12.2573029554129,12.8788085470978,8.96674769593993
" Cdkn1a",4.73303564754504,5.02923258183731,4.7263420757503,4.72524213863167,12.1245908438987,12.0450467160995,12.7671392380121,12.9407826287081,4.28622403458047,3.9431883341483,4.47391528937048,4.39827568518498
" Rps12l1",12.2293298515448,10.6229009664488,10.6582576287616,2.69922707991166,12.0912827444262,12.6128858027585,2,13.8752763877223,10.415610332561,12.2018085363563,13.30565844367,12.0663400535871
" Tnfsf4",3.29424104394473,4.10146660393616,3.67728375510432,3.02813852080964,11.0110532689627,10.981115142922,11.9512785378048,11.7782404197741,2.66144558716119,2.90731566273566,5.07084924918329,4.69871200905184
" Gm11168",4.37741579261713,5.82434188766677,6.68197069266193,6.89176894328898,13.8686924766071,15.3125122762454,4.14050207682742,11.9257831711064,7.8961372745124,7.76576555215449,2.89076199826572,8.74393135571859
" Rpl15-ps3",10.8932305874066,10.7580731432101,11.274255599112,11.1190315871732,4.22888191236572,9.11423905041589,2,11.8026174976647,11.5799004424062,11.4897537841732,11.4985113151066,2
" Gm28438",2,2.47220690649874,2.57385971798622,2,12.3756628183043,10.854248399007,2,5.74591375367929,4.0364056477365,2,2.36145216207454,9.36056362712755
