"","control_1","control_2","control_3","Hoxa1KN_1","Hoxa1KN_2","Hoxa1KN_3"
"Path:hsa00010 Glycolysis/Gluconeogenesis",0.378458632844974,0.323417134583474,0.233197122097142,-0.300514787616372,-0.374372266426236,-0.354937994306169
"Path:hsa00020 Citrate cycle (TCA cycle)",0.025975943121734,0.44423105078,0.484301025072434,-0.378476533716183,-0.121856794942805,-0.418165874982683
"Path:hsa00030 Pentose phosphate pathway",0.172841942608741,0.294118442415083,0.20023623760646,-0.0853350529632868,-0.404908264371091,-0.303875582107676
"Path:hsa00040 Pentose and glucuronate interconversions",0.233069954539891,-0.198516599066409,0.155688754245918,-0.375729281405766,0.277740729458519,-0.0128856422922203
"Path:hsa00051 Fructose and mannose metabolism",0.442174013382368,-0.191028197309557,0.343461505488182,-0.0774042941606869,-0.413329572852854,-0.129776206719647
"Path:hsa00052 Galactose metabolism",0.155615026949285,0.239824914895214,0.188482651171975,-0.16788924393963,-0.0995706734319179,-0.177437524050782
"Path:hsa00053 Ascorbate and aldarate metabolism",0.159684501208449,0.157121711191744,0.0249974154347398,-0.101813792967246,-0.185397842285896,-0.228602772310268
"Path:hsa00061 Fatty acid biosynthesis",0.143040215897742,0.23063461412578,0.231668080832172,-0.106978894807366,-0.613120672918056,0.0634840700138004
"Path:hsa00062 Fatty acid elongation",0.162132824553768,0.306491193949448,0.311162048734841,-0.408492564479605,-0.0154610329266685,-0.385868057578347
"Path:hsa00071 Fatty acid degradation",0.355465239819706,0.324773456902509,0.322479656676796,-0.440871546949191,-0.194305240530692,-0.331456571246241
"Path:hsa00100 Steroid biosynthesis",-0.307717726153862,-0.13836352238104,-0.0414768292077309,0.31405302227352,-0.165644759680995,0.451393139937433
"Path:hsa00120 Primary bile acid biosynthesis",0.10625516570524,0.435012584354446,-0.205430065369816,-0.297948211263159,0.0605347709049382,-0.234338376563993
"Path:hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis",0.623445269653932,-0.15314343646535,0.306586440554079,-0.0130104121050289,-0.496396702028474,-0.238777890947245
"Path:hsa00140 Steroid hormone biosynthesis",-0.323589880460121,-0.20966988545636,-0.376898310186127,0.380691099124877,0.0345994635420723,0.411198704381996
"Path:hsa00190 Oxidative phosphorylation",-0.0589725064007294,0.136161251873885,-0.13218799687801,0.290487129381177,-0.193120359543868,-0.105019512302681
"Path:hsa00220 Arginine biosynthesis",0.289712269802316,0.191138478117783,0.0865726362380655,-0.184570750627026,-0.207886183574958,-0.161849644666415
"Path:hsa00230 Purine metabolism",0.154160852213922,0.21353343161193,0.00684671416706192,-0.281957781232947,-0.0354311995981615,-0.0620828757533686
"Path:hsa00240 Pyrimidine metabolism",0.284732336167821,0.342010922000565,0.321512193893484,-0.424342857858296,-0.280124101446762,-0.249706344810827
"Path:hsa00250 Alanine aspartate and glutamate metabolism",0.43988941472748,0.31939327676756,0.334643732087267,-0.364243195596092,-0.297622201693235,-0.445086503468573
"Path:hsa00260 Glycine serine and threonine metabolism",0.303351142886262,-0.104850670413435,0.239899680130359,-0.194722602175847,-0.137423706422014,-0.0955339602833674
"Path:hsa00270 Cysteine and methionine metabolism",0.226181070720781,0.138601335636134,0.251721469093739,-0.264648123708163,0.106272550871539,-0.40156391824267
"Path:hsa00280 Valine leucine and isoleucine degradation",0.26652748661846,0.093436882042775,0.271713953927363,-0.312405337317509,-0.107642880322766,-0.327563358431795
"Path:hsa00310 Lysine degradation",0.294161934402235,0.19004445452723,0.257682911544312,-0.163621356148146,-0.359500704616132,-0.28243802760234
"Path:hsa00330 Arginine and proline metabolism",0.0727446117039676,0.206780539482266,0.0954020479280761,-0.324669864360905,0.161310046681963,-0.0473119487902962
"Path:hsa00340 Histidine metabolism",0.441013937458135,0.12603936964312,0.311527605066074,-0.393495739667097,-0.229211104990311,-0.254848984898841
"Path:hsa00350 Tyrosine metabolism",0.130378990466296,-0.0129964474473964,0.0708604633779374,-0.124290433469148,-0.0779659280769179,0.0754080431584653
"Path:hsa00360 Phenylalanine metabolism",0.139805965826837,-0.0464206353017798,0.598561730272565,-0.26457343931388,-0.417778173147157,0.00377542745116949
"Path:hsa00380 Tryptophan metabolism",0.281995352014802,0.36213455254001,0.401806608777608,-0.415635117862492,-0.320067151232997,-0.0893725573047061
"Path:hsa00410 beta-Alanine metabolism",0.340849776397176,0.202393107855576,0.321765255810065,-0.363567077283945,-0.0155954062148324,-0.47549710473144
"Path:hsa00430 Taurine and hypotaurine metabolism",-0.418318294014645,-0.4289665659273,-0.577372543522314,0.0464076568842682,0.381154814962176,0.388051537792328
"Path:hsa00450 Selenocompound metabolism",0.486889068068842,0.477878544004266,0.123410866364013,-0.49255735806906,-0.397778536771576,-0.223388815172616
"Path:hsa00480 Glutathione metabolism",-0.0724047557874063,-0.0178422434255003,-0.111144274729033,-0.124065210727859,0.066757515287531,0.119002553859374
"Path:hsa00500 Starch and sucrose metabolism",-0.0526789774901164,0.346803166248987,0.250471200145881,-0.314611003550033,0.0556732748555384,-0.298317260425544
"Path:hsa00510 N-Glycan biosynthesis",-0.281036561052533,-0.166179089776729,0.00823124591040034,0.432012307288359,0.026251970147464,0.0841796191733929
"Path:hsa00511 Other glycan degradation",-0.444942441848924,-0.655545320741709,-0.191940736189214,0.339632244166705,0.220812322401692,0.535420978431616
"Path:hsa00512 Mucin type O-glycan biosynthesis",0.206419958455599,0.188033021613925,0.0297084608293951,-0.192675065635332,0.176985810256116,-0.345303341684555
"Path:hsa00513 Various types of N-glycan biosynthesis",-0.317001872145287,-0.202447301243865,-0.0450789035821968,0.407578432732408,0.210621187454501,0.0293357098288646
"Path:hsa00514 Other types of O-glycan biosynthesis",0.0436245066308636,0.00902211417794618,0.347700870467025,-0.139060668387409,0.0472294585251267,-0.28995268961328
"Path:hsa00515 Mannose type O-glycan biosynthesis",-0.330006630303989,-0.342906777517345,0.0667619091654227,0.363857199214237,0.174708961459204,0.171922361333411
"Path:hsa00520 Amino sugar and nucleotide sugar metabolism",0.219813190508287,0.105901013689995,0.245684200206292,-0.0363399867553653,-0.0872314083776396,-0.298770230042258
"Path:hsa00531 Glycosaminoglycan degradation",-0.506840683385818,-0.621409789846454,-0.30160531692297,0.623696339394329,0.516608554825753,0.433569842979832
