"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000041801",8.04395327278323,8.21970787548155,31.6084058672797,1.23990351203652e-09,2.12271481260653e-06,12.6654614355677
"ENSMUSG00000026700",7.56012023931338,7.3889131184216,23.0618092377337,1.47641590039912e-08,3.74462817997525e-06,10.5203156308743
"ENSMUSG00000023067",7.44238132847941,8.4454253307154,32.2654297395581,1.0543214415668e-09,2.12271481260653e-06,12.7945657313089
"ENSMUSG00000009628",7.18726162466182,7.63903596685457,21.854590657065,2.24871914227751e-08,4.3984411516943e-06,10.1280265478751
"ENSMUSG00000075014",7.00724510131562,12.6675043507297,2.25699022075082,0.0542343090003707,0.0957207598027161,-5.26443307483905
"ENSMUSG00000029134",6.9708235783684,6.77707016762605,22.6644061726425,1.69165576206858e-08,4.137306663802e-06,10.3942002142257
"ENSMUSG00000081604",-6.8880367725094,7.57741671499805,-4.51527096956134,0.00200233242262195,0.00717153369775894,-1.82250908228337
"ENSMUSG00000043483",-6.76455021354126,6.49025409924902,-8.36032796812366,3.33047585881861e-05,0.000318144128449391,2.60692263535151
"ENSMUSG00000075015",6.71896357829741,10.24054664063,2.21089291060601,0.0582649993952068,0.101166003006688,-5.33525237819831
"ENSMUSG00000037188",6.62019281171582,5.85777143511276,28.0518199051066,3.17331909046945e-09,2.71636114144184e-06,11.8880381925998
"ENSMUSG00000026831",6.573988502035,5.36699858139117,18.6112650790376,7.87109603532903e-08,8.83627305736609e-06,8.92173136567066
"ENSMUSG00000074564",6.56343175702151,7.09887391538246,3.13735107289501,0.0140013948833245,0.0330626041934503,-3.88442141753323
"ENSMUSG00000021701",6.56054670543503,9.98338637747288,28.2247524516655,3.02357514025267e-09,2.71636114144184e-06,11.9291894169825
"ENSMUSG00000096519",6.35522920707545,9.38580616240441,2.72692005084976,0.0261631621408393,0.0536583810543479,-4.53005725296271
"ENSMUSG00000066315",-6.266111621527,5.1330558107635,-5.33153250963102,0.000720084956354677,0.00325058785834992,-0.720620307565857
"ENSMUSG00000037855",6.2326987639495,8.54240469053819,19.2961815709501,5.94153590540805e-08,7.8245457461989e-06,9.19707928494296
"ENSMUSG00000095547",6.18601884834311,10.4766785616688,2.7554384743541,0.0250392414489176,0.0518502344850885,-4.48512205092483
"ENSMUSG00000068744",6.11990030510701,9.89838517971327,25.0874349651005,7.63098124988822e-09,3.37033413884355e-06,11.1208176202397
"ENSMUSG00000078794",6.0164633586293,6.37830136376464,20.888594076888,3.20148281188158e-08,5.34725714530855e-06,9.79341489186312
"ENSMUSG00000101939",5.97964757029323,5.31498252842164,2.62907527841933,0.0304292160995016,0.0605050150549903,-4.68409965720753
"ENSMUSG00000061167",-5.8305346956973,7.93644736751686,-3.95803618357574,0.00425630941485483,0.0129198612025381,-2.62892560615184
"ENSMUSG00000022385",5.81630093576269,9.52959921008796,24.3499849216314,9.64329752453904e-09,3.41870775036503e-06,10.9100378497181
"ENSMUSG00000095280",5.78650561612683,7.74910937236354,2.67792722256586,0.0282166541316424,0.0569824970490968,-4.60722098388818
"ENSMUSG00000095891",5.77516622505977,9.48891461242284,2.57798938837355,0.0329333616956813,0.0644917531861669,-4.76439642925781
"ENSMUSG00000002083",5.75151997854838,9.30494413883071,41.6403595443228,1.40778329338962e-10,9.64049999313211e-07,14.2612434624751
"ENSMUSG00000091028",5.65605513698134,7.65646586649069,2.26775744056653,0.0533335049542978,0.0945696120991795,-5.24784544708644
"ENSMUSG00000040533",5.61816894987198,5.63071550457837,14.6038893083785,5.13135438268687e-07,2.22662007353323e-05,7.03119532007805
"ENSMUSG00000095186",5.47923098227159,10.3743152535696,2.2726551600048,0.0529286988353052,0.0939734844760617,-5.24029469334481
"ENSMUSG00000048458",5.47459163777623,10.0900461855114,32.7407718051629,9.39519321571048e-10,2.12271481260653e-06,12.885422116101
"ENSMUSG00000096385",5.45352684757536,8.24419826549233,2.16066909556417,0.0629948354405041,0.107793261643321,-5.41201792711174
"ENSMUSG00000040918",5.45097420166827,9.75119345477786,22.073514776881,2.08008835964143e-08,4.31649851115893e-06,10.201231095505
"ENSMUSG00000046721",-5.38738869176155,8.52549189032009,-3.91993509405927,0.00448900106029791,0.0134238774065153,-2.68557812756342
"ENSMUSG00000000308",5.34385382318373,4.7378635247369,17.0141769736335,1.57925236482538e-07,1.24307128670393e-05,8.22994050154647
"ENSMUSG00000030641",5.24053482502894,9.49938569305208,23.8265528408032,1.14343774622012e-08,3.54516190614238e-06,10.7550907434707
"ENSMUSG00000032128",5.18689718837442,5.04268653203754,12.3617605067344,1.83166855886564e-06,4.62851154653575e-05,5.70552511719291
"ENSMUSG00000027171",5.18352494805068,10.0398409894387,26.4098318503703,5.09821644447158e-09,3.37033413884355e-06,11.4781294437035
"ENSMUSG00000051811",5.17780181540572,6.66712412421371,16.156301880101,2.35647147950178e-07,1.5667103584105e-05,7.82646604896318
"ENSMUSG00000042099",5.09747035053511,9.48356054086948,18.8310737567076,7.18412803668101e-08,8.63103663073536e-06,9.01141331265332
"ENSMUSG00000059195",5.0943592632689,6.98133753535379,3.55583324705344,0.00754374531850698,0.0201526859523742,-3.23573784381297
"ENSMUSG00000096201",4.94542521412937,6.4745421825155,1.95262886447972,0.0869313733996936,0.139252876033006,-5.7246144528674
"ENSMUSG00000096736",4.85967103893213,6.46283882138218,2.33061731839333,0.0483646475371176,0.0873577225772852,-5.15068951676768
"ENSMUSG00000072825",4.85675941649958,10.4019267637991,27.1009133322542,4.16167209513169e-09,3.16657005638465e-06,11.654993355496
"ENSMUSG00000006445",4.77522544268014,9.92532824570757,23.538225221804,1.25790430099896e-08,3.54516190614238e-06,10.6677699782162
"ENSMUSG00000026443",4.73413546206312,4.94091518167667,9.28821292788291,1.54917773027529e-05,0.000188098742853283,3.43168377392659
"ENSMUSG00000046480",4.73396017715546,6.1023618946222,11.2211290597283,3.80392278936794e-06,7.44264664616905e-05,4.93290507339223
"ENSMUSG00000037907",4.7264387285495,6.71856408307656,24.0918450183591,1.04837708466217e-08,3.41870775036503e-06,10.8341910006517
"ENSMUSG00000055632",4.68869012160325,8.13825725314335,20.5987975455814,3.57040343045663e-08,5.68607504459698e-06,9.68918735264178
"ENSMUSG00000043099",4.66477511660489,6.99912025796209,18.2478173408127,9.17509551325828e-08,9.63554146081757e-06,8.77062620656704
"ENSMUSG00000089762",4.62332751153787,5.97637986251876,14.4709573973842,5.50454716546505e-07,2.32686043142622e-05,6.95881707990883
